"user_id","age","dob_day","dob_year","dob_month","gender","password"
"1","14","19","1999","11","male","password1"
"2","14","2","1999","11","female","password2"
"3","14","16","1999","11","male","password3"
"4","14","25","1999","12","female","password4"
"5","14","4","1999","12","male","password5"
"6","14","1","1999","12","male","password6"
"7","13","14","2000","1","male","password7"
"8","13","4","2000","1","female","password8"
"9","13","1","2000","1","male","password9"
"10","13","2","2000","2","male","password10"
"11","13","22","2000","2","male","password11"
"12","13","1","2000","2","male","password12"
"13","13","5","2000","3","male","password13"
"14","13","21","2000","3","male","password14"
"15","13","28","2000","3","female","password15"
"16","13","7","2000","4","female","password16"
"17","13","30","2000","5","female","password17"
"18","13","23","2000","5","female","password18"
"19","13","16","2000","5","female","password19"
"20","13","13","2000","8","male","password20"
"21","13","13","2000","9","female","password21"
"22","13","22","2000","9","female","password22"
"23","13","2","2000","9","male","password23"
"24","15","17","1998","11","male","password24"
"25","15","3","1998","11","male","password25"
"26","15","11","1998","11","male","password26"
"27","15","24","1998","11","male","password27"
"28","15","15","1998","11","male","password28"
"29","15","28","1998","12","male","password29"
"30","15","11","1998","12","male","password30"
"31","15","10","1998","12","male","password31"
"32","14","16","1999","1","male","password32"
"33","14","14","1999","1","male","password33"
"34","14","1","1999","1","female","password34"
"35","14","1","1999","1","male","password35"
"36","14","1","1999","1","male","password36"
"37","14","20","1999","2","male","password37"
"38","14","19","1999","2","male","password38"
"39","14","17","1999","2","male","password39"
"40","14","1","1999","2","male","password40"
"41","14","22","1999","3","female","password41"
"42","14","16","1999","3","male","password42"
"43","14","11","1999","3","female","password43"
"44","14","21","1999","3","male","password44"
"45","14","16","1999","3","female","password45"
"46","14","8","1999","3","male","password46"
"47","14","22","1999","4","male","password47"
"48","14","30","1999","4","female","password48"
"49","14","29","1999","4","female","password49"
"50","14","21","1999","4","male","password50"
"51","14","7","1999","5","male","password51"
"52","14","14","1999","5","female","password52"
"53","14","20","1999","5","male","password53"
"54","14","8","1999","6","female","password54"
"55","14","3","1999","6","male","password55"
"56","14","19","1999","7","male","password56"
"57","14","11","1999","7","male","password57"
"58","14","28","1999","7","male","password58"
"59","14","14","1999","7","male","password59"
"60","14","9","1999","9","male","password60"
"61","14","6","1999","9","male","password61"
"62","14","14","1999","9","male","password62"
"63","14","31","1999","10","male","password63"
"64","14","17","1999","10","male","password64"
"65","14","11","1999","10","female","password65"
"66","14","2","1999","10","female","password66"
"67","14","10","1999","10","female","password67"
"68","16","20","1997","11","male","password68"
"69","16","2","1997","12","female","password69"
"70","16","17","1997","12","male","password70"
"71","16","12","1997","12","female","password71"
"72","16","16","1997","12","male","password72"
"73","16","9","1997","12","male","password73"
"74","15","25","1998","1","male","password74"
"75","15","3","1998","1","male","password75"
"76","15","20","1998","1","male","password76"
"77","15","27","1998","1","male","password77"
"78","15","11","1998","1","male","password78"
"79","15","14","1998","1","male","password79"
"80","15","23","1998","1","male","password80"
"81","15","2","1998","2","male","password81"
"82","15","19","1998","2","male","password82"
"83","15","3","1998","2","male","password83"
"84","15","18","1998","2","male","password84"
"85","15","25","1998","2","female","password85"
"86","15","7","1998","3","male","password86"
"87","15","2","1998","3","female","password87"
"88","15","2","1998","3","male","password88"
"89","15","19","1998","3","male","password89"
"90","15","12","1998","3","male","password90"
"91","15","25","1998","4","female","password91"
"92","15","21","1998","4","male","password92"
"93","15","25","1998","4","male","password93"
"94","15","15","1998","4","male","password94"
"95","15","2","1998","5","male","password95"
"96","15","5","1998","5","male","password96"
"97","15","19","1998","5","female","password97"
"98","15","17","1998","5","male","password98"
"99","15","30","1998","6","male","password99"
"100","15","14","1998","6","female","password100"
